r[,1]	n[,1]	r[,2]	n[,2]	r[,3]	n[,3]	r[,4]	n[,4]	r[,5]	n[,5]	t[,1]	t[,2]	t[,3]	t[,4]	t[,5]	na[]
1	109	1	163	NA	NA	NA	NA	NA	NA	2	7	NA	NA	NA	2
18	414	6	207	NA	NA	NA	NA	NA	NA	7	1	NA	NA	NA	2
0	130	1	260	NA	NA	NA	NA	NA	NA	1	7	NA	NA	NA	2
16	240	10	114	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	2
16	272	12	140	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
12	255	6	128	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
14	371	7	369	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
0	391	10	383	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
11	357	5	339	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
1	251	8	251	NA	NA	NA	NA	NA	NA	7	2	NA	NA	NA	2
17	846	10	848	NA	NA	NA	NA	NA	NA	2	7	NA	NA	NA	2
21	501	22	337	NA	NA	NA	NA	NA	NA	4	3	NA	NA	NA	2
4	165	4	157	3	79	NA	NA	NA	NA	6	2	1	NA	NA	3
13	101	10	100	12	101	NA	NA	NA	NA	2	6	8	NA	NA	3
22	239	11	118	9	120	NA	NA	NA	NA	6	5	7	NA	NA	3
7	132	10	259	4	128	NA	NA	NA	NA	1	6	2	NA	NA	3
8	230	3	136	1	129	NA	NA	NA	NA	6	5	7	NA	NA	3
15	542	20	544	20	546	NA	NA	NA	NA	6	2	7	NA	NA	3
15	392	19	798	25	803	NA	NA	NA	NA	6	2	7	NA	NA	3
3	78	4	76	2	78	2	76	NA	NA	2	3	4	7	NA	4
9	480	25	641	19	655	11	492	NA	NA	6	2	7	5	NA	4
129	1902	64	477	42	476	20	462	39	468	2	3	4	5	7	5
1	84	0	78	1	81	1	80	0	86	2	7	5	4	1	5
